animal.tag;substance;random;noisywinstay;dual;fictitious;hybrid;forgetful;Qd;Qd+fictitious;Qd+hybrid;bd;bd+fictitious
900110000324330;saccharin;38.3206659999998;40.2752099999998;1.41973899999994;2.34440899999981;-10.9580810000002;-0.151303000000098;-12.04772;4.57043999999996;-8.48458300000016;2.00001799999995;4.34445399999981
900110000340411;alcohol;36.9163480000002;36.1380010000003;42.9163480000002;40.9163480000002;3.00320599999986;40.2117320000002;42.9163480000002;42.9161320000003;39.8163709999999;2.00000499999987;42.7109869999999
900110000340412;alcohol;23.5454549999999;25.5423029999999;-8.76331400000004;13.2351470000001;0.889795000000049;29.2423220000001;29.5454549999999;28.331214;7.05520999999999;1.66308800000002;11.966629
900110000340413;alcohol;194.773915;195.91985;-8.27738700000009;157.40359;-16.1725230000002;1.60448099999985;-15.6405180000002;160.557336;-15.366982;1.80074800000011;159.399537
900110000340414;alcohol;1.14938200000006;2.49044500000014;1.97754200000008;3.09365000000003;3.49327800000015;5.69725400000016;7.14938200000006;6.45389399999999;-3.84436800000003;-0.617651999999907;1.05497700000001
900110000340415;alcohol;-4;-4.80917999999997;1.71707500000002;0;0.895620999999892;-0.905871000000161;2;2;-26.188985;2;1.97913700000004
900110000340416;alcohol;4.45124699999997;2.48471400000017;1.73032999999987;-0.211668999999802;-7.21294399999988;1.5698940000002;-5.06060900000011;-2.6166659999999;-5.69655400000011;-1.88071600000012;-1.11296200000015
900110000340417;alcohol;43.3439799999999;45.113924;14.8709959999999;22.786239;-0.313889000000017;2.00085100000001;11.8970049999998;48.561931;5.53963399999998;2.00009499999987;24.7863029999999
900110000340418;alcohol;-3.39144099999976;-2.14188999999988;1.95328900000004;-0.137831000000006;-2.02436999999964;-3.35557699999981;2.60855900000024;-2.57399499999974;-58.3992939999998;-12.9690479999999;-5.61724099999992
900110000340419;alcohol;1.88538700000026;3.8257950000002;1.99967700000025;0.089868000000024;-0.826684999999998;1.87197800000013;7.88538700000026;2.04110100000025;-17.0808149999998;-3.06964499999958;-3.25799199999983
900110000340420;alcohol;327.8270852;323.8855694;1.51868810000008;142.373816;-2.99567789999992;1.98934059999999;0.41373580000004;248.0448879;-1.15631869999993;2.00000940000007;144.3738259
900110000340431;saccharin;78.3384510000001;74.5972070000003;-1.37185599999975;-20.9169779999997;-50.3966739999996;-18.295177;-44.0285489999997;-18.9167989999996;-48.3425429999998;2.00002900000027;-18.9169579999998
900110000340432;saccharin;68.0995370000001;65.8937410000001;1.90354200000002;2.21577400000001;-16.2343739999999;1.343705;-18.1107380000001;-5.11974000000009;-15.367847;2.00000900000009;0.938587000000098
900110000340433;saccharin;43.5896770000001;41.2652098;2.022426;-1.71049310000001;-23.9339307;1.63703799999996;-20.8685085;4.75541969999995;-21.5159977;1.61409189999995;0.0819057999999586
900110000340434;saccharin;170.348977;113.966162;1.99966999999992;-20.3045850000001;-101.566164;-13.6422890000001;-80.29142;-18.3045500000001;-99.586585;2.00002399999994;-18.3045830000001
900110000340501;alcohol+saccharin;23.1605720000002;21.1558169999998;0.328344000000016;-1.55101500000001;-10.4591730000002;-1.75250099999994;-3.45261299999993;-0.139291999999841;-64.8965079999998;1.99999900000012;0.448991000000206
900110000340502;alcohol+saccharin;58.7524309999999;43.2151019999997;1.09943999999996;-7.01142000000027;-21.2175140000004;-4.66411900000003;-44.2464810000001;-6.14519200000041;-43.4894420000001;1.93068299999959;-5.20025200000009
900110000340503;alcohol;2.83524200000011;4.541338;1.93125599999985;3.28630699999985;-2.43167200000016;2;2.46778799999993;5.28636899999992;-27.851107;1.99997200000007;5.28632300000027
900110000340504;alcohol+saccharin;33.7456228;-4.70798409999998;-21.5405258999999;-27.540938;-73.8149842;-26.3837315;-70.3117831;-26.1138093;-78.0319788;-8.98187250000001;-32.7551033999999
